"","car","ebike","escoot","walk"
"kappa.1",1.60128170040682,2.49709611659698,2.44494927195392,1.74993423616896
"kappa.2",2.73682872301461,4.13478513199534,3.68347211828056,2.89935128884781
"kappa.3",4.57242475898934,5.90738561583759,5.07957727041477,4.55456099048492
"kappa.4",6.35200378198322,7.28468457722192,6.35442361555094,5.92327229907418
"kappa.5",8.39191903051056,9.00787459256135,7.83059491996626,7.86481331649938
"constant",5.40558896969031,6.9969420168619,4.56539402490055,6.16808786674817
"gender",0.804918673268761,0.321647480899343,0.526468291922564,0.124199934115237
"young",0.782905152968542,0.751514578755516,0.779598475673802,0.545616266202727
"pav",1.40069912966014,0.856651684527031,0.992752006014724,0.247092249607507
"cross1",-0.768704368359404,-0.422013573908621,-0.529577620292804,-1.60454286885119
"cross2",0.0638619298242368,0.129061251004524,0.0692596866788518,0.068927645517584
"obst",0.242388122828398,0.393669168063778,0.525925029020028,1.03299051449259
"mean.type1",-0.853265562237343,-5.56397701997863,-4.46007603838732,-2.41551854304974
"mean.type2",-0.778400934869042,-4.69955462161863,-3.4700506526627,-0.884827721556593
"mean.type4",-0.910795622012377,-3.73927137321186,-2.70244451506708,-0.422752641225976
"mean.veh",-0.00124425349074842,-0.00414061456541955,-0.00154053657314413,0.00142603767134443
"mean.bike",-0.00130130045755452,-0.0011497859928551,-0.00109801109683789,0.00381738941825049
"mean.ped",-0.00265121080473019,-0.00711913286855129,-0.00193519449846393,0.00362939996629834
"sd.type1",0.837865465729489,1.92172174164202,1.59315951239153,1.0116641264576
"sd.type2",0.168110876392999,1.76400549800193,1.14595326162358,0.543900314965633
"sd.type4",0.472600800264101,1.87197852534835,1.36894835825906,0.525816399575235
"sd.veh",0.0155281568448569,0.012587658482037,0.0127224590495583,0.0141598226702456
"sd.bike",0.0103270497180944,0.00121762643676611,0.0133807057928783,0.0125949274763169
"sd.ped",0.0734890562246394,0.0402606602465451,0.0388935444782259,0.058317929326274
